Description,delivered_sales,delivered_quantity
DOLLY GIRL BABY GIFT SET,6567.95,421
CHILDRENS CUTLERY DOLLY GIRL ,6554.6,1628
PLASTERS IN TIN SKULLS,6552.9125675800005,4060
SET OF 20 VINTAGE CHRISTMAS NAPKINS,6530.26,8122
SET OF 12 FAIRY CAKE BAKING CASES,6469.45,8243
VICTORIAN SEWING BOX SMALL ,6432.110000000001,1128
LARGE ZINC HEART WALL ORGANISER,6414.48,1064
BEWARE OF THE CAT METAL SIGN ,6405.31,4027
PICTURE FRAME WOOD TRIPLE PORTRAIT,6378.150000000001,1023
BLACK/BLUE POLKADOT UMBRELLA,6367.9400000000005,1133
SET/10 PINK POLKADOT PARTY CANDLES,6353.58,5257
PIGGY BANK RETROSPOT ,6308.57,2619
MEMO BOARD COTTAGE DESIGN,6306.1900000000005,1365
BLUE STRIPE CERAMIC DRAWER KNOB,6284.25,4969
72 SWEETHEART FAIRY CAKE CASES,6274.9,13070
METAL 4 HOOK HANGER FRENCH CHATEAU,6273.29,2151
RETROSPOT LARGE MILK JUG,6267.15,1317
LANDMARK FRAME CAMDEN TOWN ,6257.35,558
TOY TIDY PINK POLKADOT,6229.58,3169
RED STRIPE CERAMIC DRAWER KNOB,6224.03,5035
LOVE SEAT ANTIQUE WHITE METAL,6210.0,58
3 DRAWER ANTIQUE WHITE WOOD CABINET,6195.73,715
BOX OF 6 CHRISTMAS CAKE DECORATIONS,6155.04,1712
SAVE THE PLANET MUG,6151.78,5265
HAND WARMER BABUSHKA DESIGN,6149.33,4633
VINTAGE DONKEY TAIL GAME ,6146.89,1750
MINI LIGHTS WOODLAND MUSHROOMS,6130.504459459,1720
COFFEE MUG APPLES DESIGN,6124.15,2770
CIRCUS PARADE LUNCH BOX ,6122.63,3375
LARGE CIRCULAR MIRROR MOBILE,6107.049999999999,6821
WALL ART CLASSIC PUDDINGS ,6093.49,821
AGED GLASS SILVER T-LIGHT HOLDER,6083.2,10088
JINGLE BELL HEART DECORATION,6069.150000000001,3687
CHILDS BREAKFAST SET DOLLY GIRL ,6063.0,657
TEA TIME TEA TOWELS ,6045.0,2600
JUMBO BAG DOLLY GIRL DESIGN,6008.41,3097
SET OF 60 PANTRY DESIGN CAKE CASES ,5982.09,11675
BROCADE RING PURSE ,5980.05,22963
DELUXE SEWING KIT ,5974.62,1058
CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,5968.98,1280
4 TRADITIONAL SPINNING TOPS,5960.08,4491
DOORSTOP RETROSPOT HEART,5938.21,1516
PACK OF 60 DINOSAUR CAKE CASES,5934.68,12134
PLACE SETTING WHITE HEART,5922.27,14877
SET 3 WICKER OVAL BASKETS W LIDS,5922.12,462
WOODEN HAPPY BIRTHDAY GARLAND,5910.15,2093
RED RETROSPOT PEG BAG,5880.05,2460
SET 2 TEA TOWELS I LOVE LONDON ,5859.25,1953
SET OF 2 TEA TOWELS APPLE AND PEARS,5855.24,1980
CHARLOTTE BAG PINK POLKADOT,5840.64,7306
RED RETROSPOT SMALL MILK JUG,5830.2,2460
PINK FAIRY CAKE CHILDRENS APRON,5823.36,3144
CHICK GREY HOT WATER BOTTLE,5810.37,1555
PANTRY WASHING UP BRUSH,5795.86,3920
BISCUIT TIN 50'S CHRISTMAS,5795.2,2060
REGENCY TEA PLATE PINK,5793.28,3688
WOODEN OWLS LIGHT GARLAND ,5781.35,1535
CANDLEHOLDER PINK HANGING HEART,5771.78,2046
ENGLISH ROSE HOT WATER BOTTLE,5767.91,1423
BINGO SET,5725.71,1553
LANTERN CREAM GAZEBO ,5721.42,1214
BOTANICAL GARDENS WALL CLOCK ,5719.0,259
WHITE METAL LANTERN,5713.03,1591
PANTRY CHOPPING BOARD,5695.860000000001,1138
SOMBRERO ,5691.5,4402
SET OF 6 TEA TIME BAKING CASES,5687.150000000001,4879
UNION STRIPE WITH FRINGE  HAMMOCK,5682.09,759
SINGLE HEART ZINC T-LIGHT HOLDER,5664.78,5700
SET OF 2 WOODEN MARKET CRATES,5652.9,462
DOORMAT TOPIARY,5644.46,880
CHARLOTTE BAG APPLES DESIGN,5632.15,7039
SET OF 6 NATIVITY MAGNETS ,5623.8737209,2783
WHITE SPOT RED CERAMIC DRAWER KNOB,5618.04,4564
QUEENS GUARD COFFEE MUG,5603.57,2365
RETROSPOT CHILDRENS APRON,5587.87,3039
SET OF 72 PINK HEART PAPER DOILIES,5566.679999999999,3954
VINTAGE CHRISTMAS STOCKING ,5564.25,2199
RED 3 PIECE RETROSPOT CUTLERY SET,5555.13,1543
VINTAGE CHRISTMAS GIFT SACK,5527.150000000001,1365
VINTAGE SNAKES & LADDERS,5523.53,1575
STRAWBERRY CHARLOTTE BAG,5520.95,6847
SET/6 RED SPOTTY PAPER PLATES,5496.53,7351
3 STRIPEY MICE FELTCRAFT,5478.05,2923
POLKADOT PEN,5475.25,6625
PINK BABY BUNTING,5448.11,1965
FELTCRAFT PRINCESS OLIVIA DOLL,5446.1,1514
RUSTIC  SEVENTEEN DRAWER SIDEBOARD,5415.0,35
PARISIENNE JEWELLERY DRAWER ,5399.02,765
SMALL ZINC HEART WALL ORGANISER,5378.8,1538
PHOTO FRAME 3 CLASSIC HANGING,5377.45,554
CLASSIC GLASS COOKIE JAR,5358.5,1334
WALL ART BIG LOVE ,5340.21,963
WOODEN ADVENT CALENDAR CREAM,5340.0,370
BISCUIT TIN VINTAGE CHRISTMAS,5303.3636841,1851
LUNCH BAG PAISLEY PARK  ,5267.75,3315
DOG BOWL CHASING BALL DESIGN,5227.929999999999,1341
BUNDLE OF 3 ALPHABET EXERCISE BOOKS,5225.22,3286
10 COLOUR SPACEBOY PEN,5209.17,6267
LARGE IVORY HEART WALL ORGANISER,5142.91,759
SET OF 5 LUCKY CAT MAGNETS ,5121.4800000000005,2538
RED RETROSPOT SHOPPER BAG,5115.31,4264
CERAMIC CAKE STAND + HANGING CAKES,5084.78,562
CALENDAR PAPER CUT DESIGN,5072.639999999999,1768
SMALL IVORY HEART WALL ORGANISER,5069.58,1022
WOODEN ADVENT CALENDAR RED,5047.6,536
RED RETROSPOT BOWL,5046.98,4363
RED SPOT CERAMIC DRAWER KNOB,5042.4,4080
TREASURE ISLAND BOOK BOX,5036.55,2431
3 PIECE SPACEBOY COOKIE CUTTER SET,5034.639999999999,2514
BOX OF VINTAGE JIGSAW BLOCKS ,5031.57,920
BLUE SPOT CERAMIC DRAWER KNOB,5028.5199999999995,4004
CHRISTMAS CRAFT TREE TOP ANGEL,5025.58,2448
LIGHT GARLAND BUTTERFILES PINK,5018.84,1340
VICTORIAN SEWING BOX LARGE,5014.23,425
PINK 3 PIECE POLKADOT CUTLERY SET,5010.400000000001,1392
FULL ENGLISH BREAKFAST PLATE,4993.05,1383
HEART IVORY TRELLIS LARGE,4988.83,3055
SET OF 4 JAM JAR MAGNETS,4986.49,2472
PACK OF 6 PANNETONE GIFT BOXES,4982.68,2015
RED RETROSPOT MUG,4972.1,1814
PACK OF 20 NAPKINS PANTRY DESIGN,4966.32,6102
WHITE SPOT BLUE CERAMIC DRAWER KNOB,4960.5,3994
COFFEE MUG PEARS  DESIGN,4959.85,2288
3 TIER CAKE TIN GREEN AND CREAM,4954.5599999999995,364
ENAMEL MEASURING JUG CREAM,4954.29,1193
LANDMARK FRAME COVENT GARDEN ,4949.55,438
BUBBLEGUM RING ASSORTED,4894.83,11891
DOORMAT AIRMAIL ,4887.82,722
SET 3 PAPER VINTAGE CHICK PAPER EGG,4881.15,1749
DOORMAT RESPECTABLE HOUSE,4873.44,730
"ASSORTED FLOWER COLOUR ""LEIS""",4871.45,10297
WALL ART KEEP CALM ,4861.75,959
RED RETROSPOT PLATE ,4860.98,3074
WELCOME  WOODEN BLOCK LETTERS,4856.52,505
HOME SWEET HOME METAL SIGN ,4850.62,1714
PACK OF SIX LED TEA LIGHTS,4849.01,1729
HANGING METAL HEART LANTERN,4831.207567568,3204
SET OF 3 WOODEN HEART DECORATIONS,4829.08,3747
GINGHAM HEART DECORATION,4828.38,5964
FELTCRAFT GIRL AMELIE KIT,4824.13,987
ADVENT CALENDAR GINGHAM SACK,4810.59936508,840
SET/10 BLUE POLKADOT PARTY CANDLES,4798.34,3970
REGENCY TEA STRAINER,4789.24,1362
LANDMARK FRAME NOTTING HILL ,4768.15,422
I'M ON HOLIDAY METAL SIGN,4761.55,2294
CERAMIC STRAWBERRY CAKE MONEY BANK,4756.91,3927
LANDMARK FRAME OXFORD STREET,4755.650000000001,421
FRYING PAN UNION FLAG,4731.36,1200
BATH BUILDING BLOCK WORD,4727.83,792
FELTCRAFT DOLL ROSIE,4716.87,1653
HEART IVORY TRELLIS SMALL,4715.03,3863
PARTY METAL SIGN ,4708.2699999999995,3335
